section,text,translation,translit
General,Дица бухӀараб чай бугеб суркӀа дур тӀотӀода лъуна.,I put a cup of hot tea on your desk.,
General,Дица Томие гьабиларо гьес дие гьабураб.,I won’t do to Tom what he did to me.,
General,Дун пляжалде кӀванагӀан гӀемер хьвадула.,I go to the beach as often as I can.,
General,Гьаниб бахьун бугищ яги дидайищ эдин кколеб бугеб?,Is it warm in here or is it just me?,
General,Дун цеве гӀадин гӀемерго къватӀиве вахъунаро.,I don’t go out as much as I used to.,
General,Дие бокьун буго вукӏине дуе дун вихьизе вокьарав гӀадав.,I want to be what you want me to be.,
General,Дир руго гӀемерал хӀалтӀаби дица гьаризе кколеб.,I have a lot of things I need to do.,
General,Дида лъаларо нилӏеда гьеб гьабизе кӏолебищилан.,I don’t know if we can do it or not.,
General,Дир планазда буго цохӏо дица тӏадаб жо гьабизе.,I only plan to do what I have to do.,
General,Томица дидаса лъикӀго гьеб гьабулеб буго.,Tom is a lot better at it than I am.,
General,Хьул буго нижеда гьеб гьабизе рес батулилан.,I hope we can find a way to do that.,
General,"Дуца дие гӏарац кьуни, дица гьеб гьабила.",I’ll do that if you pay me to do it.,
General,Дун мунгун вилӏина дуе бокьани.,I can go with you if you want me to.,
General,Дие гьеб кӀванагӀан гӀемерго гьабизе бокьун буго.,I want to do that as often as I can.,
General,Дун шагьаралдаса ина цо къоялъ яги гьебгогӏан мехалъ гӏага-шагарго.,I’ll be out of town for a day or so.,
General,Том цеве гӀадин лебалав гьечӀо.,Tom is not as spry as he used to be.,
General,Том цеве гӀадин хехав гьечӀо.,Tom is not as fast as he used to be.,
General,Дуда бараб буго щиб гьабизе бугебали.,It is up to you to decide what to do.,
General,Дида колла дида гьеб регӀараб мехалъ гьабизе кӀолилан.,I think I can do it in my spare time.,
General,Дир цодагьаб мугъ унтулеб буго.,I’ve got a bit of an ache in my back.,
General,Дида лъаларо гьелда регӀун вугищали дун,I don’t know if I have time to do it.,
General,Дида ракӏ чӏун лъаларо васищ гьев яги ясищ.,I’m not sure if it’s a boy or a girl.,
General,Дица гьей дунгун киноялде ине ахӀана.,I asked her to go to a movie with me.,
General,Бокьун бугищ дида цадахъ спортзалалде вилӏине?,Do you want to go to the gym with me?,
General,Дица гьабизе кколеб гьабизе бокьун гьечӀо.,I don’t want to do what I need to do.,
General,Дие гӀицӀго бокьун буго дуе квекиялъе дида кӀолеб жо гьабизе.,I just want to do what I can to help.,
General,Дие дуе гӀадин бокьун буго Томие квекизе.,I want to help Tom as much as you do.,
General,"Дие бокьун буго Томгун кӏалъазе, дун унголъун кӏалъалев вуго гьабсагӏат!",I want to talk to Tom and I mean now!,
General,Дие дуе гӀадин цӀакъ бокьун буго Том хутӀизе.,I want Tom to stay as much as you do.,
General,Томида хадув дуе гӏолон шпионизейищ бокьун бугеб?,Do you want me to spy on Tom for you?,
General,Дие бокьун буго дуца гьабизе кколеб жо гьабизе букӏине.,I want you to do what you have to do.,
General,Дица Томие кьуна дихъ кодоб букӏараб щинаб гӏарац.,I gave Tom all the money I had on me.,
General,Дир буго гьаризе кколел ишазул сияхӏ.,I have a list of things I need to do.,
General,Дица кӏварабго хисизабила гьеб.,I’m going to fix it as soon as I can.,
General,Дие бокьун буго лъазе дун щивгун кӏалъазе кколебали.,I want to know who I need to talk to.,
General,Гьадинаб тӏехь нилӏее къваригӏараб гьечӏо.,This kind of book is of no use to us.,
General,Гьеб нилӏеца гӏадада хвезабураб заман букӏана.,It was a waste of time for all of us.,
General,Гьеб букӏана цӏакъ лъикӏаб къо пляжалде ине букӏине.,It was a nice day to go to the beach.,
General,Томица абураб къагӏид нилӏеца гьабизе ккола.,This is the way Tom told us to do it.,
General,Дир планазда буго гьаб Томие сайгъат гӏадин кьезе.,I plan to give this to Tom as a gift.,
General,Гьеб кинабго букӏана Томица дида абун дица гьабизе кколилан.,That was all Tom told me I had to do.,
General,Дие бокьун буго дуца дида бицине гьеб гьабизе кколеб куц.,I want you to tell me how to do this.,
General,Дие бокьун буго Том дуда бицунев чилъун вукӏине.,I want Tom to be the one to tell you.,
General,Дир ракӏчӏей гьечӏо Томгун бухьен гьабизе кӏолилан.,I’m not sure I can get a hold of Tom.,
General,Дие бокьилаан хӏаракат бахъизе дицаго гьеб гьабизе.,I’d like to try to do this on my own.,
General,Дие бокьилаан Том дунгун кӏалъазе.,I wish I could get Tom to talk to me.,
General,Дие бокьун гьечӏо гьелда гъорлӏ вукӏине.,I just don’t want to be a part of it.,
General,Дида кӏола босизе дие къваригӏараб рукъалъул нухда унаго.,I can buy what I need on my way home.,
General,Дие бокьун буго Том дуе гӏадин цӏакъ ватизе.,I want to find Tom as much as you do.,
General,Дие бокьун буго ине дове дуе гӏадин цӏакъ.,I want to go there as much as you do.,
General,Дица Томие гӏемераб гӏарац кьуна гъос гьеб гьабизе букӏине.,I paid Tom a lot of money to do that.,
General,Дида лъаларо дида гьеб гьабизе кӏолебищилан.,I don’t know if I can do that or not.,
General,Дир жигар гьечӏо ине вечеринкаялде.,I’m not in the mood to go to a party.,
General,Дие къваригӏун буго гьеб гьабулеб куц дуца дида бицине.,I need you to tell me how to do this.,
General,Томгун контактизе бегьулеб куц лъалищ дуда?,Do you know how to get a hold of Tom?,
General,Дие бокьун буго дуца балагьизе гьаб гьабизе кӏолебищилан.,I want you to see if you could do it.,
General,Нижеца гьабизе ккана гъоз нижеда гьабейлиан абураб жо.,We had to do what they told us to do.,
General,Бокьун буги дунгун зоопаркалде вилӏине?,Do you want to go to the zoo with me?,
General,Бокьун буги дунгун лъедезе вилӏине?,Do you want to go for a swim with me?,
General,Томица гьикъана дида дихъ кодоб гӏарац бугищилан.,Tom asked me if I had any cash on me.,
General,Томица бицарабищ гьесда гьеб гьабизе кӏвараб куц?,Did Tom say how he was able to do it?,
General,Щаклъи гьечӏо Томица гӏемераб гӏарац кьуралъи жиндирго цӏияб мащиналъухъ.,I bet Tom paid a lot for his new car.,
General,Щай дуца Томие мунгун гьединаб гьабизе биччалеб?,Why do you let Tom to do this to you?,
General,Нижеда лъазабе нижеда гьабизе кӏолеб квеки батани.,Let us know if we can be of any help.,
General,Том цеве гӏадин нечарав вас гьечӏо.,Tom is not the shy boy he used to be.,
General,Дида Том цеве гӏадин гӏемер вихьулев гьечӏо.,I don’t see Tom as much as I used to.,
General,Дие бокьун буго гьанив чӏезе кӏварабгӏан гӏемер.,I want to stay here as long as I can.,
General,Томида гӏадин лъиданиги хекко векеризе кӏоларо.,No one is able to run as fast as Tom.,
General,Нилӏеца гьеб гьабизе ккола кӏварабгӏан хекко.,We have to do that as soon as we can.,
General,Виччай дун балагьизе дуе гьеб къачӏазе кӏолебищилан.,Let me see if I can fix that for you.,
General,Дида кколаро Том дунго гӏадин хехав вугилан.,I don’t think Tom is as fast as I am.,
General,Дие тохтурлъун лӏугьине бокьун буго кӏудияв гӏураб мехалъ.,I want to be a doctor when I grow up.,
General,Дица гьеб гьедигӏан гӏемер гьабуларо цебе гӏадин.,I don’t do that as much as I used to.,
General,Нижгун спортзалалде вилӏине бокьун буги?,Do you want to go to the gym with us?,
General,Гьеб Томица дие гьабулилан боржун чlезе бегьули?,Can I count on Tom to do that for me?,
General,Дуда квеш бихьулищ дица гьеб гьабичӏого тани?,Is it OK with you if I don’t do that?,
General,Томида гьаризе бегьулищ гьеб гьабейилан?,Would it be OK to ask Tom to do that?,
General,Нилӏеца гьеб гьабизе ккола кӏварабгӏан хекко.,We need to do that as soon as we can.,
General,Томица гьабизе кколеб букӏараб жо кӏвана гьабизе.,Tom was able to do what he had to do.,
General,Дица гьеб цебе гӏадин лъикӏ гьабулеб гьечӏо.,I don’t do that as well as I used to.,
General,Дида кӏолеб гьечӏо дие къваригӏараб гьабизе.,I’m not able to do what I need to do.,
General,Дица балагьила гьеб гьабизе Томил пикраби хисизабизе кӏолебищилан.,I’ll see if I can get Tom to do that.,
General,Дида кӏолеб гьечӏо гьабизе дица гьабизе кколеб.,I’m not able to do what I have to do.,
General,Дун тӏадчӏела гьеб гьабизе цо яги кӏиго къойидасан.,I’m going to do that in a day or two.,
General,Дун вахъунаро цӏакъго хекко цебе гӏадин.,I don’t get up as early as I used to.,
General,Дида кӏоларо гьабизе гьеб лъикӏ цебе гӏадин.,I can’t do that as well as I used to.,
General,Дида кӏола гьеб гьабизе гьабсагӏат дие бокьани.,I can do that right now if I want to.,
General,Дуе дица Томида гьаризейищ бокьун бугеб гьеб гьабейилан?,Do you want me to ask Tom to do that?,
General,Дун Томида бицине ине ккола щиб гьабизе кколебали.,I have to go and tell Tom what to do.,
General,Дун шагьаралда вукӏунаро цо яги кӏиго къоялъ.,I’ll be out of town for a day or two.,
General,Дун тӏадчӏела гьеб гьабизе дида кӏварабгӏан хекко.,I’ll try to do that as fast as I can.,
General,Дида лъала нилӏ тӏадчӏани нилӏеда гьеб гьабизе кӏолеблъи.,I know that we can do that if we try.,
General,Дир планазда буго гьеб гьабизе Томида гьаризе квеки.,I plan to ask Tom to help me do that.,
General,Дица Томида бицана кин дида гьеб гьабизе кӏварабали.,I told Tom how I was able to do that.,
General,Кин нилӏеда Томида гьабизабизе кӏолеб гьеб нилӏее гӏоло?,How can we get Tom to do that for us?,
General,Дие бокьилаан дир ракӏчӏун бачине бегьулеб машина букӏине.,I wish I had a car I could depend on.,
General,Дие бокьун буго дуца бихьизабизе гьеб гьабизе кколеб куц.,I want you to show me how to do that.,
General,Нилӏедаса цочангоязда гурони лъаларо гьеб гьабизе кколеб куц.,Only a few of us know how to do that.,
General,Дие бокьун буго мехалъул шуба дирго лъадуе босизе.,I want to buy a fur coat for my wife.,
General,Дун гӏемер лижабазда хъещтӏолаан гьитӏинав мехалъ.,I went skiing a lot when I was a kid.,
General,Дица дуда абулеб букӏана гьеб жо гьабизехъин бугин.,I told you that I was going to do it.,
General,Дуда кӏола зодо гӏемерал цӏваби рихьизе.,You can see a lot of stars in the sky.,
General,Гьеб цӏакъ лазатаб буго музикалъухъ гӏенеккизе.,It is a lot of fun to listen to music.,
General,Дуца цо дида лъалев вукӏарав вас ракӏалде щвезабулев вуго.,You remind me of a boy I used to know.,
General,Дие бокьун буго кето бачине гьоялъул бакӏалда.,I want to keep a cat instead of a dog.,
General,Дица дирго гьой азбаралда бугеб гъотӏода бухьана.,I tied my dog to the tree in the yard.,
General,Дуда мекъи бихьулищ дун цодагьа телевизаралъухъ балагьани?,Do you mind if I watch TV for a while?,
General,Дун балагьизе ине ккела дида щиб гьабизе кӏолебали.,I’ll have to go and see what I can do.,
General,Дие къваригӏана анкь квачаялдаса лъилъизе.,It took me a week to get over my cold.,
General,Дие бокьула автобусалда цеве гӏодокӏине.,I like to sit in the front of the bus.,
General,Дида ккола гьой босизе мех щванилан.,I think it’s time for me to get a dog.,
General,Дида ккола хӏалтӏи балагьизе мех щванилан.,I think it’s time for me to get a job.,
General,Дида ккола кьижизе мех щванилан.,I think it’s time for me to go to bed.,
General,Томил гӏемераб хӏалтӏи гьабизе буго гьаб анкьалъ.,Tom has a lot of work to do this week.,
General,Дица цебе гӏадин гӏемераб гьан кваналаро.,I don’t eat as much meat as I used to.,
General,Дие бокьилаан дир дагьабги гӏемераб мех букӏине мунгун кӏалъазе.,I wish I had more time to talk to you.,
General,Киса дие Авропаялъул карта щвезе бегьулеб?,Where can I go to get a map of Europe?,
General,Дун рокъове щваравго кьижун ккана.,I went to sleep as soon as I got home.,
General,Дица кӏварабго гьелъул тӏалаб гьабила.,I’ll take care of it as soon as I can.,
General,Дуе гьаниса бокьун бугищ нахъе ине яги гьечӀищ?,Do you want to get out of here or not?,
General,Дуе бокьун бугищ дида цадахъ музеялде вилӏине?,Do you want to go to a museum with me?,
General,Дуе бокьунищ бугеб лъазе щай дица Томида гьереси бицарабали?,Do you want to know why I lied to Tom?,
General,Дие цохӀо абизе бокьун букӀана дуца лъикӀаб хӀалтӀи гьабунилан.,I just want to say you did a good job.,
General,Дие бокьун буго дуе гӀадин цӏакъ Том ватизе.,I want to find Tom as badly as you do.,
General,Дие бокьун буго дуца квекизе дие гьаниса къватӀиве вахъине.,I want you to help me get out of here.,
General,Дие бокьун буго мун дие гӀоло тукаде векеризе.,I want you to run to the store for me.,
General,Дие лъазе бокьун бугеб жо ккола гьеб кин гьабулебали.,What I want to know is how to do this.,
General,Дир цӀияб камера буго нужеда бихьизабизе бокьун.,I have a new camera I want you to see.,
General,Дие бокьун буго мун вилӏине дида цадахъ Том вихьизе.,I want you to come with me to see Tom.,
General,Дие бокьун буго мун лъикӏго Томихъ балагьизе.,I want you to take a good look at Tom.,
General,Дица дуда абила дие щиб гьабизе бокьун бугебали.,Let me tell you what I want you to do.,
General,Дида гьабсагӏат гьабизе кӏолаан гьеб,дуе бокьани.,
General,Дида мун хӀалтӀуде унаго йачине кӏолаан.,I could pick you up on my way to work.,
General,Дица росизе кколел жалазул сияхӀ гьабизе ккана.,I had to make a list of things to buy.,
General,Дида ккола кӀвелин дуда гьеб кин гьабизе кколебали бихьизабизе.,I think I can show you how to do that.,
General,Дун мунгун контактила дида кӀварабго.,I’ll get back to you as soon as I can.,
General,Дун цо-кӀиго анкьалъ шагьаралда вукӏунаро.,I’ll be out of town for a week or two.,
General,Интерес буго,мун нижго гӏадин занят вугевилан ракӀалде ккола.,
General,Нилӏер гьаризе кколел жал гӀемер руго.,We have a lot of things we need to do.,
General,Нижеца квешаб ситуациялдаса максимум къватӏибе цӏазе ккана.,We had to make the best of a bad deal.,
General,Дица гьабулеб жоялда дица цӀакъ лъикӀ гьабулеб батана.,I happen to be very good at what I do.,
General,Томица дие гьеб кьола,дица гьесда гьарани.,
General,Дие къваригӀун буго дуца дидасан гьаб Томие кьезе.,I need you to give this to Tom for me.,
General,Том вуго нижеда щиб гьабизе кколебали бицарав чи.,Tom is the one who told us what to do.,
General,Дида ккола нилӏ Томгун кӀалъазе кколин.,It seems to me we need to talk to Tom.,
General,Дуда бицине кӏолебищ дида щивгун кӀалъазе кколебали?,Can you tell me who I need to talk to?,
General,Дун хӏалакълизе вукӏине диетаялда чӏезе ккола.,I have to go on a diet to lose weight.,
General,Дие бокьун букӀана цохӀо балагьизе дида гьеб гьабизе кӀолищали.,I just wanted to see if I could do it.,
General,Дида ккола гьеб гьабизе бищунго лъикӀаб къагӀида бугин.,I think this is the best way to do it.,
General,Дур рахъалӏан цӏакъ берцинаб букӏана гьеб нижее гьабизе.,It was sweet of you to do this for us.,
General,Дица дуда бичӀчӀизабизе кӏола,дуца изну кьуни.,
General,Дида ккола дида кӀвелин Том дихъ гӀенеккизавизе.,I think I can get Tom to listen to me.,
General,Нилӏеца кӀвараб квеки гьабизе ккола Томие.,We need to help Tom as much as we can.,
General,Дуда ракӀалде кколебалдаса гӀемер жо лъала дида.,I know a lot more than you think I do.,
General,Цохӏо дица гьикъараб жо букӀана Томида — воххун вугищан.,All I did was ask Tom if he was happy.,
General,Дида ккола гьеб гьабизе гьаб гурони нух гьечӏилан.,I think this is the only way to do it.,
General,Томгун вугеб мехалъ дие цӏакъ кеп букӀуна.,I have a lot of fun when I’m with Tom.,
General,Дие бокьун буго дун нахъе щведал мун гьанив вукӀине.,I want you to be here when I get back.,
General,Дун тӏадчӏела кӀварабгӀан хехго нахъе вуссине.,I’ll try to get back as soon as I can.,
General,Дие бокьуларо Том дида ццидахун вугеб мехалъ.,I don’t like it when Tom is mad at me.,
General,Дие бокьун буго кӀудияв гӀураб мехалъ учителлъун лӏугьине.,I want to be a teacher when I grow up.,
General,Дие мун вокьулевалдаса дагьавги цӏакъ вокьула Том.,I like Tom a lot more than I like you.,
General,Дида лъала нилӏеца гӀемераб гӀарац кин гьабизе бегьулебали.,I know how we can make a lot of money.,
General,Дие Том цеве гӀадин рекӏее гӏоларо.,I don’t like Tom as much as I used to.,
General,Гьез абураб бакӀалде ниж ине ккана.,We had to go where they told us to go.,
General,Том вуго цояв дида щиб гьабизе кколебали бицарав чи.,Tom is the one who told me what to do.,
General,Дида Том цо параялъ вихьана.,I saw Tom out of the corner of my eye.,
General,Нужер цонигиясда дида бицине кӏолебищ гьеб кин гьабулебали?,Can any of you tell me how to do this?,
General,Дие цохӏо бокьилаан Томида щиб абилебали лъазе букӏине.,I just wish I knew what to say to Tom.,
General,Дида лъалаан гьеб гьабизе захӀматаб букӀунилан.,I knew it was going to be tough to do.,
General,Нилӏеда Томида гьаризе кӏола квеки,нилӏее гьеб къваригӀани.,
General,Томида дида аскӀов гӀодов чӀезе кӏола,гьесие бокьани.,
General,Дуе бокьун бугищ дица мун Томгун данде гьайизе?,Do you want me to fix you up with Tom?,
General,Дуца дие гьабураб жоялъул дица кӏудияб кӏвар кьуна.,What you did for me meant a lot to me.,
General,Дуда гӀадин диеги бокьилаан лъазе лъим ххазе.,I wish I could swim as well as you do.,
General,Дуда гӀадин лъикӀ кечӀ ахӀизе диеги бокьилаан.,I wish I could sing as well as you do.,
General,Дие бокьун гьечӀо гьедин гьабулев чилъун вукӀине.,I don’t want to be the one to do that.,
General,Том гьанже Мария гӀадин цеве бечедав вукӀана.,Tom used to be as rich as Mary is now.,
General,Дие бокьун буго ракӏчӏезе дица гьабулеб жо дида лъалеб бугилан.,I want to make sure I know what to do.,
General,Дие бокьун буго гьаб дида кӀварабгӏан хехго гьабизе.,I want to do this as quickly as I can.,
General,Дие бокьун буго дида кӏолебгӏан бищун лъикӀав футболистлъун вукӀине.,I want to be the best player I can be.,
General,Дие Томгун цо командаялда вукӀине бокьилаан.,I wish I were on the same team as Tom.,
General,Нилӏеда Томица щиб гьабулеб бугебали лъазе ккола.,We need to find out what Tom is up to.,
General,Дица хӀаракат бахъулеб букӏана дуца гьарараб гьабизе.,I tried to do what you asked me to do.,
General,Дида ккола нилӏеца Томида гьаризе кколин нилӏее квекийилан.,I think we need to ask Tom to help us.,
General,Дунги Томги цере цо командаялда рукӀана.,Tom and I used to be on the same team.,
General,Нилӏеца гьеб дагь-дагьккун гьабизе ккола.,We have to take it one step at a time.,
General,Томида лъицаниги абичӀо гьабизе кколеб жо.,No one has told Tom what he has to do.,
General,Томида дуе квеки гьаризе бокьилеби?,Do you want me to ask Tom to help you?,
General,Дица гьеб цебе гӀадин гӀемер гьабуларо.,I don’t do that as often as I used to.,
General,Дун цеве гӀадин къватӀив гӀемер кваналаро.,I don’t eat out as often as I used to.,
General,Томица гӀемераб магъакь-кӏачар гӏодорехизе ккола.,Tom needs to get rid of a lot of junk.,
General,Дун вукӀана Томида гьедин гьабеян абурав чи.,I was the one who told Tom to do that.,
General,Дир хьул буго Бостоналде ине рес щвайгийилан.,I hope I get a chance to go to Boston.,
General,Дун цебе гӀадин телевизоралъухъ балагьуларо.,I don’t watch as much TV as I used to.,
General,Томица нилӏее гьеб гьабулилан божизе бегьулищ?,Can we count on Tom to do that for us?,
General,Дие бокьун буго дур ургъел гьабизе рес букӏине.,I want to be able to take care of you.,
General,Диеги бокьилаан дуца гӏадин лъикӏ гьеб гьабизе кӏвезе.,I wish I could do that as well as you.,
General,Дица гьеб гьабсагӀатго гьабилаан,дун мун вукӀаравани.,
General,Хьул буго Томица нижеца абураб жо гьабунилан.,I hope Tom did what we told him to do.,
General,Дица гьедин гьабила Томие,гьес дида гьарани.,
General,Дуе бокьани дида аскӀов гӀодов чӀезе бегьула.,You can sit next to me if you want to.,
General,Дун ине кколаро дие бокьичӀони.,I don’t have to go if I don’t want to.,
General,Дида гьеб цӏидахъин гьабизе кӏола,дуе бокьун батани.,
General,Дун дуда цадахъ вачӀине кӏола,дуе бокьун батани.,
General,Дида лъаларо,нилӏеда гьеб гьабизе кӏолищ кӏоларищалиго.,
General,Дица гьаниса цо гӏеч кваназе бегьулищ?,Is it OK if I eat one of these apples?,
General,Дида гьеб гьабизе кӏола,дуца дие шанс кьуни.,
General,Дица гьеб гьабизехъин буго дида кӀварабгӀан хехго.,I’m going to do that as soon as I can.,
General,Дун лижабазда дие бокьараб къагӏиядалъ лъикӏ хъещтӏоларо.,I don’t ski as well as I wish I could.,
General,Дица цебе гӀадин гӏемер гьан кваналеб гьечӀо.,I don’t eat meat as much as I used to.,
General,Дица гьеб цебе гӀадин гьабулеб гьечӏо гьанже.,I don’t do that now the way I used to.,
General,Дица гьеб гьедигӏан гӏемер гьабулеб гьечӏо дие бокьун бугеб къагӏидалъ.,I don’t do that as often as I want to.,
General,Дун цебе гӀадин гӏемер телевизоралъухъ балагьуларо.,I don’t watch TV as much as I used to.,
General,Дица Томида гьикъана,лъалищ дуда гьеб гьабизеян.,
General,Дица Томида гьарана гьеб кин гьабилебали бихьейилан.,I asked Tom to show me how to do that.,
General,Дида ккола дида кӀочон тун бугин Томие кӀул кьезе.,I think I forgot to give a key to Tom.,
General,Гьеб гьабизе дир гӀемераб мех гьечӀо.,I don’t have a lot of time to do that.,
General,Дун гьаниве вачӀун вуго Томица дие тараб ящик босизе.,I’m here to get a box Tom left for me.,
General,Томица гьеб гьабизе кколеб букӏанилан дида лъалеб букӀинчӀо.,I had no idea that Tom had to do that.,
General,Дие бокьун буго лъазе щай Томица гьеб гьабизе кколебали.,I want to know why Tom has to do that.,
General,Дица Томие гьеб гьабизе квекани бегьулареб букӏуни?,Is it all right if I help Tom do that?,
General,Дур ургъел букӀин лъай дие гӀемераб жо ккола.,It means a lot to me to know you care.,
General,Дида лъала дуда гӀадин лъикӏ дида гьеб гьабизе кӀолареблъи.,I know I can’t do that as well as you.,
General,Дида лъала Томида гӀадин лъикӏ дида гьеб гьабизе кӀолареблъи.,I know I can’t do that as well as Tom.,
General,Дида лъала нилӏ Томида божизе бегьулеблъи гьеб жоялда.,I know we can count on Tom to do that.,
General,Том цеве гӀадин лебалав гьечӀо.,Tom is not as nimble as he used to be.,
General,Щай дуе бокьун бугеб дица Томие гӏоло гьеб гьабизе?,Why do you want me to do that for Tom?,
General,Томие дида аскӀов гӀодов чӀезе бегьула,гьесие бокьун батани.,
General,Цохӏо дие бокьун бугеб жо мун воххизавизе.,All I want to do is to make you happy.,
General,Нилӏ божун рукӏине бегьула Томица нилӏее гӏоло гьеб гьабулилан.,We can count on Tom to do that for us.,
General,Дида цебе гӀадин гӀемер вихьуларо Том.,I don’t see Tom as often as I used to.,
General,Бокьани,дида аскӀов гӀодов чӀезе бегьула.,
General,Гьеб гьабизе дие гӀемераб заман къваригӀана.,It took a long time for me to do that.,
General,Дида лъаларо вечеринкаялде ине кӏвезе бугищали.,I don’t know if I can go to the party.,
General,Дие бокьун букӀана щуго килоялъул ролӏул таргьа босизе.,I want to buy a five kilo bag of rice.,
General,Дие бокьун буго мун дида цадахъ кьурдизе йилӏине.,I want you to go to the dance with me.,
General,Томил бичӏчӏи букӀинчӀо гьеб жоялъул цониги битӀараб букӏарабищали.,Tom had no idea if any of it was true.,
General,Нилӏер гӀемерисезда кӀоларо гьеб гьабизе.,Not very many of us can do that.,
General,Дур рахъалӏан цӏодараб жо букӏана гьесда квеки гьаризе,It was wise of you to ask him for help.,
General,Дида гьев лъана студентлъун вукӏарав мехалъ.,I got to know him when I was a student.,
General,Томица дида ракӀалде щвезавулев вуго цо дида лъалев вукӀарав вас.,Tom reminds me of a boy I used to know.,
General,Том нижер классалда бокьарав вас гӀадин ворхатав вуго.,Tom is as tall as any boy in our class.,
General,Гьединлъидал дица дуда машинаялде унгеян абураб.,That’s why I told you not to go by car.,
General,Дида цо-кӀиго къоялдасан лъугӀизабизе кӀвела.,I’ll be able to finish in a day or two.,
General,Гьаб рокъоб цӀакъ багӀарун буго ниж хӀалтӀизе рукӏине.,This room is too hot for us to work in.,
General,Дуда бицине кӏолебищ гьаб картаялда дун кив вугевали?,Can you tell me where I am on this map?,
General,Гьаб анкьалъул ахиралде щвелалде дуца гьаб гьабизе ккола.,You must do it by the end of this week.,
General,Дида лъаларо киве ине кколебали гин щиб гьабизе кколебали.,I don’t know where to go or what to do.,
General,Рокъове унаго дида дандчӀвана цояв дир гьудул.,I met one of my friends on my way home.,
General,Дун гьанже квекизе дун ресалда гьечӀо.,I am not now in a position to help you.,
General,Дица гьев дирго машинаялда вачана сон къаси сардилӏ.,I gave him a ride in my car last night.,
General,Дида дир ада дун лъимер вугев гӀадин кӏалъала.,My aunt treats me as if I were a child.,
General,Дуда гьес жинцаго гьабураби хӀалтӀи бугилани кколе?,Do you think he did the job on his own?,
General,Самолеталда ун дуе кигӏан ккезехъин бугеб?,How much will it cost you to go by air?,
General,Дида лъала гьеб кинабго гӀицӀго хӀай букӀин.,I know that all of this is just a game.,
General,Нилӏеца гьаб рукъалъе цо цӀияб халича босизе ккола.,We need to buy a new rug for this room.,
General,КӀудияб шагьаралда гӀумру гьабизе дие бокьун гьечӀо.,I have no wish to live in a large city.,
General,Дун кватӀичӀого къезеги чӏун гӀицӀго кьижизе ине рес буго.,I may give up soon and just take a nap.,
