section,text,translation,translit
General,Дие гьеб гьабизе дуе гӀадин цӀакъ бокьун буго.,"I want to do this as much as you do.""",
General,Дица бухӀараб чай бугеб суркӀа дур тӀотӀода лъуна.,"I put a cup of hot tea on your desk.""",
General,Дица Томие гьабиларо гьес дие гьабураб.,"I won’t do to Tom what he did to me.""",
General,Дун пляжалде кӀванагӀан гӀемер хьвадула.,"I go to the beach as often as I can.""",
General,Гьаниб бахьун бугищ яги дидайищ эдин кколеб бугеб?,"Is it warm in here or is it just me?""",
General,Дун цеве гӀадин гӀемерго къватӀиве вахъунаро.,"I don’t go out as much as I used to.""",
General,Дие бокьун буго вукӏине дуе дун вихьизе вокьарав гӀадав.,"I want to be what you want me to be.""",
General,Дир руго гӀемерал хӀалтӀаби дица гьаризе кколеб.,"I have a lot of things I need to do.""",
General,Дида лъаларо нилӏеда гьеб гьабизе кӏолебищилан.,"I don’t know if we can do it or not.""",
General,Дир планазда буго цохӏо дица тӏадаб жо гьабизе.,"I only plan to do what I have to do.""",
General,Томица дидаса лъикӀго гьеб гьабулеб буго.,"Tom is a lot better at it than I am.""",
General,Хьул буго нижеда гьеб гьабизе рес батулилан.,"I hope we can find a way to do that.""",
General,"Дуца дие гӏарац кьуни, дица гьеб гьабила.""","I’ll do that if you pay me to do it.""",
General,Дун мунгун вилӏина дуе бокьани.,"I can go with you if you want me to.""",
General,Дие гьеб кӀванагӀан гӀемерго гьабизе бокьун буго.,"I want to do that as often as I can.""",
General,Дун шагьаралдаса ина цо къоялъ яги гьебгогӏан мехалъ гӏага-шагарго.,"I’ll be out of town for a day or so.""",
General,Том цеве гӀадин лебалав гьечӀо.,"Tom is not as spry as he used to be.""",
General,Том цеве гӀадин хехав гьечӀо.,"Tom is not as fast as he used to be.""",
General,Дуда бараб буго щиб гьабизе бугебали.,"It is up to you to decide what to do.""",
General,Дида колла дида гьеб регӀараб мехалъ гьабизе кӀолилан.,"I think I can do it in my spare time.""",
General,Дир цодагьаб мугъ унтулеб буго.,"I’ve got a bit of an ache in my back.""",
General,Дида лъаларо гьелда регӀун вугищали дун,"I don’t know if I have time to do it.""",
General,Дида ракӏ чӏун лъаларо васищ гьев яги ясищ.,"I’m not sure if it’s a boy or a girl.""",
General,Дица гьей дунгун киноялде ине ахӀана.,"I asked her to go to a movie with me.""",
General,Бокьун бугищ дида цадахъ спортзалалде вилӏине?,"Do you want to go to the gym with me?""",
General,Дица гьабизе кколеб гьабизе бокьун гьечӀо.,"I don’t want to do what I need to do.""",
General,Дие гӀицӀго бокьун буго дуе квекиялъе дида кӀолеб жо гьабизе.,"I just want to do what I can to help.""",
General,Дие дуе гӀадин бокьун буго Томие квекизе.,"I want to help Tom as much as you do.""",
General,"Дие бокьун буго Томгун кӏалъазе, дун унголъун кӏалъалев вуго гьабсагӏат!""","I want to talk to Tom and I mean now!""",
General,Дие дуе гӀадин цӀакъ бокьун буго Том хутӀизе.,"I want Tom to stay as much as you do.""",
General,Томида хадув дуе гӏолон шпионизейищ бокьун бугеб?,"Do you want me to spy on Tom for you?""",
General,Дие бокьун буго дуца гьабизе кколеб жо гьабизе букӏине.,"I want you to do what you have to do.""",
General,Дица Томие кьуна дихъ кодоб букӏараб щинаб гӏарац.,"I gave Tom all the money I had on me.""",
General,Дир буго гьаризе кколел ишазул сияхӏ.,"I have a list of things I need to do.""",
General,Дица кӏварабго хисизабила гьеб.,"I’m going to fix it as soon as I can.""",
General,Дие бокьун буго лъазе дун щивгун кӏалъазе кколебали.,"I want to know who I need to talk to.""",
General,Гьадинаб тӏехь нилӏее къваригӏараб гьечӏо.,"This kind of book is of no use to us.""",
General,Гьеб нилӏеца гӏадада хвезабураб заман букӏана.,"It was a waste of time for all of us.""",
General,Гьеб букӏана цӏакъ лъикӏаб къо пляжалде ине букӏине.,"It was a nice day to go to the beach.""",
General,Томица абураб къагӏид нилӏеца гьабизе ккола.,"This is the way Tom told us to do it.""",
General,Дир планазда буго гьаб Томие сайгъат гӏадин кьезе.,"I plan to give this to Tom as a gift.""",
General,Гьеб кинабго букӏана Томица дида абун дица гьабизе кколилан.,"That was all Tom told me I had to do.""",
General,Дие бокьун буго дуца дида бицине гьеб гьабизе кколеб куц.,"I want you to tell me how to do this.""",
General,Дие бокьун буго Том дуда бицунев чилъун вукӏине.,"I want Tom to be the one to tell you.""",
General,Дир ракӏчӏей гьечӏо Томгун бухьен гьабизе кӏолилан.,"I’m not sure I can get a hold of Tom.""",
General,Дие бокьилаан хӏаракат бахъизе дицаго гьеб гьабизе.,"I’d like to try to do this on my own.""",
General,Дие бокьилаан Том дунгун кӏалъазе.,"I wish I could get Tom to talk to me.""",
General,Дие бокьун гьечӏо гьелда гъорлӏ вукӏине.,"I just don’t want to be a part of it.""",
General,Дида кӏола босизе дие къваригӏараб рукъалъул нухда унаго.,"I can buy what I need on my way home.""",
General,Дие бокьун буго Том дуе гӏадин цӏакъ ватизе.,"I want to find Tom as much as you do.""",
General,Дие бокьун буго ине дове дуе гӏадин цӏакъ.,"I want to go there as much as you do.""",
General,Дица Томие гӏемераб гӏарац кьуна гъос гьеб гьабизе букӏине.,"I paid Tom a lot of money to do that.""",
General,Дида лъаларо дида гьеб гьабизе кӏолебищилан.,"I don’t know if I can do that or not.""",
General,Дир жигар гьечӏо ине вечеринкаялде.,"I’m not in the mood to go to a party.""",
General,Дие къваригӏун буго гьеб гьабулеб куц дуца дида бицине.,"I need you to tell me how to do this.""",
General,Томгун бухьен гьабизе бегьулеб куц лъалищ дуда?,"Do you know how to get a hold of Tom?""",
General,Дие бокьун буго дуца балагьизе гьаб гьабизе кӏолебищилан.,"I want you to see if you could do it.""",
General,Нижеца гьабизе ккана гъоз нижеда гьабейлиан абураб жо.,"We had to do what they told us to do.""",
General,Бокьун буги дунгун зоопаркалде вилӏине?,"Do you want to go to the zoo with me?""",
General,Бокьун буги дунгун лъедезе вилӏине?,"Do you want to go for a swim with me?""",
General,Томица гьикъана дида дихъ кодоб гӏарац бугищилан.,"Tom asked me if I had any cash on me.""",
General,Томица бицарабищ гьесда гьеб гьабизе кӏвараб куц?,"Did Tom say how he was able to do it?""",
General,Щаклъи гьечӏо Томица гӏемераб гӏарац кьуралъи жиндирго цӏияб мащиналъухъ.,"I bet Tom paid a lot for his new car.""",
General,Щай дуца Томие мунгун гьединаб гьабизе биччалеб?,"Why do you let Tom to do this to you?""",
General,Нижеда лъазабе нижеда гьабизе кӏолеб квеки батани.,"Let us know if we can be of any help.""",
General,Том цеве гӏадин нечарав вас гьечӏо.,"Tom is not the shy boy he used to be.""",
General,Дида Том цеве гӏадин гӏемер вихьулев гьечӏо.,"I don’t see Tom as much as I used to.""",
General,Дие бокьун буго гьанив чӏезе кӏварабгӏан гӏемер.,"I want to stay here as long as I can.""",
General,Томида гӏадин лъиданиги хекко векеризе кӏоларо.,"No one is able to run as fast as Tom.""",
General,Нилӏеца гьеб гьабизе ккола кӏварабгӏан хекко.,"We have to do that as soon as we can.""",
General,Виччай дун балагьизе дуе гьеб къачӏазе кӏолебищилан.,101. Let me see if I can fix that for you.,
General,Дида кколаро Том дунго гӏадин хехав вугилан.,102. I don’t think Tom is as fast as I am.,
General,Дие тохтурлъун лӏугьине бокьун буго кӏудияв гӏураб мехалъ.,103. I want to be a doctor when I grow up.,
General,Дица гьеб гьедигӏан гӏемер гьабуларо цебе гӏадин.,104. I don’t do that as much as I used to.,
General,Нижгун спортзалалде вилӏине бокьун буги?,105. Do you want to go to the gym with us?,
General,Гьеб Томица дие гьабулилан _ бегьули?,106. Can I count on Tom to do that for me?,
General,Дуда квеш бихьулищ дица гьеб гьабичӏого тани?,107. Is it OK with you if I don’t do that?,
General,Томида гьаризе бегьулищ гьеб гьабейилан?,108. Would it be OK to ask Tom to do that?,
General,Нилӏеца гьеб гьабизе ккола кӏварабгӏан хекко.,109. We need to do that as soon as we can.,
General,Томица гьабизе кколеб букӏараб жо кӏвана гьабизе.,110. Tom was able to do what he had to do.,
General,Дица гьеб цебе гӏадин лъикӏ гьабулеб гьечӏо.,111. I don’t do that as well as I used to.,
General,Дида кӏолеб гьечӏо дие къваригӏараб гьабизе.,112. I’m not able to do what I need to do.,
General,Дица балагьила гьеб гьабизе Томил пикраби хисизабизе кӏолебищилан.,113. I’ll see if I can get Tom to do that.,
General,Дида кӏолеб гьечӏо гьабизе дица гьабизе кколеб.,114. I’m not able to do what I have to do.,
General,Дун тӏадчӏела гьеб гьабизе цо яги кӏиго къойидасан.,115. I’m going to do that in a day or two.,
General,Дун вахъунаро цӏакъго хекко цебе гӏадин.,116. I don’t get up as early as I used to.,
General,Дида кӏоларо гьабизе гьеб лъикӏ цебе гӏадин.,117. I can’t do that as well as I used to.,
General,Дида кӏола гьеб гьабизе гьабсагӏат дие бокьани.,118. I can do that right now if I want to.,
General,Дуе дица Томида гьаризейищ бокьун бугеб гьеб гьабейилан?,119. Do you want me to ask Tom to do that?,
General,Дун Томида бицине ине ккола щиб гьабизе кколебали.,120. I have to go and tell Tom what to do.,
General,Дун шагьаралда вукӏунаро цо яги кӏиго къоялъ.,121. I’ll be out of town for a day or two.,
General,Дун тӏадчӏела гьеб гьабизе дида кӏварабгӏан хекко.,122. I’ll try to do that as fast as I can.,
General,Дида лъала нилӏ тӏадчӏани нилӏеда гьеб гьабизе кӏолеблъи.,123. I know that we can do that if we try.,
General,Дир планазда буго гьеб гьабизе Томида гьаризе квеки.,124. I plan to ask Tom to help me do that.,
General,Дица Томида бицана кин дида гьеб гьабизе кӏварабали.,125. I told Tom how I was able to do that.,
General,Кин нилӏеда Томида гьабизабизе кӏолеб гьеб нилӏее гӏоло?,126. How can we get Tom to do that for us?,
General,Дие бокьилаан дир ракӏчӏун бачине бегьулеб машина букӏине.,127. I wish I had a car I could depend on.,
General,Дие бокьун буго дуца бихьизабизе гьеб гьабизе кколеб куц.,128. I want you to show me how to do that.,
General,Нилӏедаса цочангоязда гурони лъаларо гьеб гьабизе кколеб куц.,129. Only a few of us know how to do that.,
General,Дие бокьун буго мехалъул шуба дирго лъадуе босизе.,130. I want to buy a fur coat for my wife.,
General,Дун гӏемер лижабазда хъещтӏолаан гьитӏинав мехалъ.,131. I went skiing a lot when I was a kid.,
General,Дица дуда абулеб букӏана гьеб жо гьабизехъин бугин.,132. I told you that I was going to do it.,
General,Дуда кӏола зодо гӏемерал цӏваби рихьизе.,133. You can see a lot of stars in the sky.,
General,Дуца цо дида лъалев вукӏарав вас ракӏалде щвезабулев вуго.,135. You remind me of a boy I used to know.,
General,Дие бокьун буго кето бачине гьоялъул бакӏалда.,136. I want to keep a cat instead of a dog.,
General,Дица дирго гьой азбаралда бугеб гъотӏода бухьана.,137. I tied my dog to the tree in the yard.,
General,Дуда мекъи бихьулищ дун цодагьа телевизаралъухъ балагьани?,138. Do you mind if I watch TV for a while?,
General,Дун балагьизе ине ккела дида щиб гьабизе кӏолебали.,139. I’ll have to go and see what I can do.,
General,Дие къваригӏана анкь квачаялдаса лъилъизе.,140. It took me a week to get over my cold.,
General,Дие бокьула автобусалда цеве гӏодокӏине.,141. I like to sit in the front of the bus.,
General,Дида ккола гьой босизе мех щванилан.,142. I think it’s time for me to get a dog.,
General,Дида ккола хӏалтӏи балагьизе мех щванилан.,143. I think it’s time for me to get a job.,
General,Дида ккола кьижизе мех щванилан.,144. I think it’s time for me to go to bed.,
General,Томил гӏемераб хӏалтӏи гьабизе буго гьаб анкьалъ.,145. Tom has a lot of work to do this week.,
General,Дица цебе гӏадин гӏемераб гьан кваналаро.,146. I don’t eat as much meat as I used to.,
General,Дие бокьилаан дир дагьабги гӏемераб мех букӏине мунгун кӏалъазе.,147. I wish I had more time to talk to you.,
General,Киса дие Авропаялъул карта щвезе бегьулеб?,148. Where can I go to get a map of Europe?,
General,Дун рокъове щваравго кьижун ккана.,149. I went to sleep as soon as I got home.,
General,Дица кӏварабго гьелъул тӏалаб гьабила.,150. I’ll take care of it as soon as I can.,
General,Дуе гьаниса бокьун бугищ нахъе ине яги гьечӀищ?,151. Do you want to get out of here or not?,
General,Дуе бокьун бугищ дида цадахъ музеялде вилӏине?,152. Do you want to go to a museum with me?,
General,Дуе бокьунищ бугеб лъазе щай дица Томида гьереси бицарабали?,153. Do you want to know why I lied to Tom?,
General,Дие цохӀо абизе бокьун букӀана дуца лъикӀаб хӀалтӀи гьабунилан.,154. I just want to say you did a good job.,
General,Дие бокьун буго дуе гӀадин цӏакъ Том ватизе.,155. I want to find Tom as badly as you do.,
General,Дие бокьун буго дуца квекизе дие гьаниса къватӀиве вахъине.,156. I want you to help me get out of here.,
General,Дие бокьун буго мун дие гӀоло тукаде векеризе.,157. I want you to run to the store for me.,
General,Дие лъазе бокьун бугеб жо ккола гьеб кин гьабулебали.,158. What I want to know is how to do this.,
General,Дир цӀияб камера буго нужеда бихьизабизе бокьун.,159. I have a new camera I want you to see.,
General,Дие бокьун буго мун вилӏине дида цадахъ Том вихьизе.,160. I want you to come with me to see Tom.,
General,Дие бокьун буго мун лъикӏго Томихъ балагьизе.,161. I want you to take a good look at Tom.,
General,Дица дуда абила дие щиб гьабизе бокьун бугебали.,162. Let me tell you what I want you to do.,
General,"Дида гьабсагӏат гьабизе кӏолаан гьеб, дуе бокьани.",163. I could do that now if you want me to.,
General,Дида мун хӀалтӀуде унаго йачине кӏолаан.,164. I could pick you up on my way to work.,
General,Дица росизе кколел жалазул сияхӀ гьабизе ккана.,165. I had to make a list of things to buy.,
General,Дида ккола кӀвелин дуда гьеб кин гьабизе кколебали бихьизабизе.,166. I think I can show you how to do that.,
General,Дун мунгун контактила дида кӀварабго.,167. I’ll get back to you as soon as I can.,
General,Дун цо-кӀиго анкьалъ шагьаралда вукӏунаро.,168. I’ll be out of town for a week or two.,
General,"Интерес буго, мун нижго гӏадин занят вугевилан ракӀалде ккола.",169. I wonder if you are as busy as we are.,
General,Нилӏер гьаризе кколел жал гӀемер руго.,170. We have a lot of things we need to do.,
General,Нижеца квешаб ситуациялдаса максимум къватӏибе цӏазе ккана.,171. We had to make the best of a bad deal.,
General,Дица гьабулеб жоялда дица цӀакъ лъикӀ гьабулеб батана.,172. I happen to be very good at what I do.,
General,"Томица дие гьеб кьола, дица гьесда гьарани.",173. Tom will give me that if I ask him to.,
General,Дие къваригӀун буго дуца дидасан гьаб Томие кьезе.,174. I need you to give this to Tom for me.,
General,Том вуго нижеда щиб гьабизе кколебали бицарав чи.,175. Tom is the one who told us what to do.,
General,Дида ккола нилӏ Томгун кӀалъазе кколин.,176. It seems to me we need to talk to Tom.,
General,Дуда бицине кӏолебищ дида щивгун кӀалъазе кколебали?,177. Can you tell me who I need to talk to?,
General,Дун хӏалакълизе вукӏине диетаялда чӏезе ккола.,178. I have to go on a diet to lose weight.,
General,Дие бокьун букӀана цохӀо балагьизе дида гьеб гьабизе кӀолищали.,179. I just wanted to see if I could do it.,
General,Дида ккола гьеб гьабизе бищунго лъикӀаб къагӀида бугин.,180. I think this is the best way to do it.,
General,Дур рахъалӏан цӏакъ берцинаб букӏана гьеб нижее гьабизе.,181. It was sweet of you to do this for us.,
General,"Дица дуда бичӀчӀизабизе кӏола, дуца изну кьуни.",182. I can explain it to you if you let me.,
General,Дида ккола дида кӀвелин Том дихъ гӀенеккизавизе.,183. I think I can get Tom to listen to me.,
General,Нилӏеца кӀвараб квеки гьабизе ккола Томие.,184. We need to help Tom as much as we can.,
General,Дуда ракӀалде кколебалдаса гӀемер жо лъала дида.,185. I know a lot more than you think I do.,
General,Цохӏо дица гьикъараб жо букӀана Томида — воххун вугищан.,186. All I did was ask Tom if he was happy.,
General,Дида ккола гьеб гьабизе гьаб гурони нух гьечӏилан.,187. I think this is the only way to do it.,
General,Томгун вугеб мехалъ дие цӏакъ кеп букӀуна.,188. I have a lot of fun when I’m with Tom.,
General,Дие бокьун буго дун нахъе щведал мун гьанив вукӀине.,189. I want you to be here when I get back.,
General,Дун тӏадчӏела кӀварабгӀан хехго нахъе вуссине.,190. I’ll try to get back as soon as I can.,
General,Дие бокьуларо Том дида ццидахун вугеб мехалъ.,191. I don’t like it when Tom is mad at me.,
General,Дие бокьун буго кӀудияв гӀураб мехалъ учителлъун лӏугьине.,192. I want to be a teacher when I grow up.,
General,Дие мун вокьулевалдаса дагьавги цӏакъ вокьула Том.,193. I like Tom a lot more than I like you.,
General,Дида лъала нилӏеца гӀемераб гӀарац кин гьабизе бегьулебали.,194. I know how we can make a lot of money.,
General,Дие Том цеве гӀадин рекӏее гӏоларо.,195. I don’t like Tom as much as I used to.,
General,Гьез абураб бакӀалде ниж ине ккана.,196. We had to go where they told us to go.,
General,Том вуго цояв дида щиб гьабизе кколебали бицарав чи.,197. Tom is the one who told me what to do.,
General,Дида Том цо параялъ вихьана.,198. I saw Tom out of the corner of my eye.,
General,Нужер цонигиясда дида бицине кӏолебищ гьеб кин гьабулебали?,199. Can any of you tell me how to do this?,
General,Дие цохӏо бокьилаан Томида щиб абилебали лъазе букӏине.,200. I just wish I knew what to say to Tom.,
